Movie Rank,Movie Title,Movie Alt Title,Movie Genre,Date of Release,Movie Rating IMDB,Movie Rating mm
1,The Shawshank Redemption,,['Drama'],1994,9.3,4.42
2,The Godfather,Mario Puzo's The Godfather,['Crime'],1972,9.2,4.37
3,The Godfather: Part II,Mario Puzo's The Godfather: Part II,['Crime'],1974,9.0,4.29
4,The Green Mile,Stephen King's The Green Mile,"['Fantasy, Drama']",1999,8.6,4.28
5,Pulp Fiction,,"['Crime, Drama']",1994,8.9,4.26
6,The Lord of the Rings: The Return of the King,,"['Adventure, Fantasy']",2003,9.0,4.24
7,Schindler's List,,"['War, Drama']",1993,9.0,4.24
8,Se7en,Seven,"['Thriller, Crime']",1995,8.6,4.22
9,The Lord of the Rings: The Fellowship of the Ring,,"['Fantasy, Adventure']",2001,8.8,4.21
10,Gladiator,,"['History, Drama']",2000,8.5,4.19
11,Scarface,,"['Crime, Drama']",1983,8.3,4.19
12,Goodfellas,GoodFellas,"['Crime, Drama']",1990,8.7,4.19
13,American History X,,"['Crime, Drama']",1998,8.5,4.18
14,The Pianist,,"['Drama, War']",2002,8.5,4.18
15,Intouchables,The Intouchables,"['Comedy, Drama']",2011,8.5,4.18
16,The Lord of the Rings: The Two Towers,,"['Adventure, Fantasy']",2002,8.8,4.16
17,Forrest Gump,,"['Comedy, Drama']",1994,8.8,4.16
18,Cidade de Deus,City of God,"['Drama, Crime']",2002,8.6,4.15
19,The Dark Knight,,"['Action, Crime']",2008,9.0,4.13
20,The Silence of the Lambs,,"['Thriller, Crime']",1991,8.6,4.13
21,The Usual Suspects,,"['Crime, Mystery']",1995,8.5,4.12
22,Saving Private Ryan,,"['War, Drama']",1998,8.6,4.11
23,Heat,,"['Crime, Thriller']",1995,8.3,4.11
24,12 Angry Men,Twelve Angry Men,['Drama'],1957,9.0,4.1
25,Fight Club,,"['Comedy, Thriller']",1999,8.8,4.09
26,American Beauty,,"['Drama, Comedy']",1999,8.3,4.09
27,Into the Wild,,"['Biography, Drama']",2007,8.1,4.06
28,Reservoir Dogs,,"['Crime, Drama']",1992,8.3,4.04
29,Léon,The Professional,"['Crime, Drama']",1994,8.5,4.04
30,Requiem for a Dream,,['Drama'],2000,8.3,4.03
31,Jagten,The Hunt,['Drama'],2012,8.3,4.03
32,Apocalypse Now,Apocalypse Now Redux,"['War, Drama']",1979,8.4,4.02
33,Django Unchained,,"['Western, Action']",2012,8.5,4.02
34,Das Leben der Anderen,The Lives of Others,"['Drama, Thriller']",2006,8.4,4.02
35,The Matrix,,"['Scifi, Action']",1999,8.7,4.01
36,Inception,,"['Thriller, Scifi']",2010,8.8,4.0
37,Braveheart,,"['War, History']",1995,8.3,4.0
38,The Lion King,De Leeuwenkoning,"['Animation, Family']",1994,8.5,3.98
39,"Lock, Stock and Two Smoking Barrels","Lock, Stock & Two Smoking Barrels","['Crime, Comedy']",1998,8.1,3.98
40,Seppuku,Harakiri,['Drama'],1962,8.6,3.98
41,The Shining,,"['Horror, Mystery']",1980,8.4,3.97
42,Das Boot,De Andere Kant van de Oorlog,"['War, Drama']",1981,8.4,3.97
43,Inglourious Basterds,,"['War, Comedy']",2009,8.3,3.96
44,The Departed,,"['Crime, Thriller']",2006,8.5,3.96
45,Der Untergang,Downfall,"['History, War']",2004,8.2,3.95
46,Full Metal Jacket,,"['War, Drama']",1987,8.3,3.95
47,Prisoners,,"['Crime, Thriller']",2013,8.1,3.94
48,Joker,,"['Crime, Drama']",2019,8.4,3.94
49,North by Northwest,De Man Die Verdwijnen Moest,"['Thriller, Mystery']",1959,8.3,3.94
50,Terminator 2: Judgment Day,T2 - Terminator 2: Judgment Day,"['Action, Scifi']",1991,8.6,3.93
51,Rear Window,De Stille Getuige,"['Thriller, Mystery']",1954,8.5,3.93
52,Nuovo Cinema Paradiso,Cinema Paradiso,['Drama'],1988,8.5,3.93
53,Trainspotting,,"['Drama, Comedy']",1996,8.1,3.92
54,A Clockwork Orange,,['Crime'],1971,8.3,3.92
55,Alien,,"['Horror, Scifi']",1979,8.5,3.92
56,1917,,"['Drama, War']",2019,8.2,3.92
57,In the Name of the Father,,"['Drama, Biography']",1993,8.1,3.92
58,Green Book,,"['Biography, Comedy']",2018,8.2,3.92
59,It's a Wonderful Life,"Mens, Durf te Leven","['Drama, Romance']",1946,8.6,3.92
60,Double Indemnity,Bloedgeld,"['Filmnoir, Crime']",1944,8.3,3.92
61,The Father,,['Drama'],2020,8.2,3.92
62,Casino,,"['Crime, Drama']",1995,8.2,3.91
